DroneID,TimeToDestroy (ms)
RedDrone1,0.350
RedDrone2,0.227
RedDrone3,0.330
RedDrone4,0.200
RedDrone5,0.198
RedDrone6,0.187
RedDrone7,0.210
RedDrone8,0.214
RedDrone9,0.195
BlueDrone1,0.267
BlueDrone2,0.267
BlueDrone3,0.244
BlueDrone4,0.198
BlueDrone5,0.229
BlueDrone6,0.198
BlueDrone7,0.198
BlueDrone8,0.244
BlueDrone9,0.229
RedDrone1,0.383
RedDrone1,0.363
RedDrone1,0.351
BlueDrone3,0.359
RedDrone6,0.353
RedDrone7,0.366
RedDrone8,0.610
RedDrone8,0.534
BlueDrone4,0.427
